비교쌍,항목,일치율,κ,비고
저자 ↔ LLM (gpt-4o×3),L1 위임/인용/판단불가,0.980 (196/200),0.707 (95% CI 0.41–0.92),불일치 4건 전건 조정 기록 부록 수록
저자 ↔ LLM,L2 위임된 법형식(집합),교집합 1.000 / 완전일치 0.969,0.959 (집합범주),잔여 6건은 학칙·정관 등 LLM 값 목록 외 형식
저자 ↔ 마커 추출기,L1,0.965 (193/200) = 유병률,정의 불가(추출기 상수 — 수집 단계 추출기. 패널 T7과 별개),7건 = 메타데이터 잔여 오류
저자 ↔ 마커 추출기,L2(집합·병존 포함),교집합 0.915 (183/200) / 정확 0.760 (152/200),—,병존 열 재구축(32건) 후 재계산. 불일치 48 = 교육규칙→조례 접힘 16 + 다형식 단일기록 26 + 기타 6
LLM 반복 간,self-consistency,L1 0.997 / L2 0.995,—,"temperature=0, repeats=3 — Schepers et al.(2025)은 변동성을 언급하되 정량화하지 않음"
