id,상위법령ID,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명
P06668,005377,학교급식법 시행령,17,권한의 위임,"교육감은 법 제20조에 따라 법 제19조에 따른 출입·검사·수거 등, 법 제21조에 따른 행정처분 등의 요청 및 법 제25조에 따른 과태료 부과·징수권한을 조례로 정하는 바에 따라 교육장에게 위임할 수 있다.",조례로,위임자치법규,조례,자치법규,광주광역시교육감 행정권한 위임 조례
P06366,005352,폐교재산의 활용촉진을 위한 특별법 시행령,3,수의계약에 의한 대부 및 매각 등,②법 제5조제1항에 따라 대부하는 경우 연간 대부료율은 해당 폐교재산평정가격(「공유재산 및 물품 관리법 시행령」 제31조제2항에 따른 가격을 말한다. 이하 같다)을 고려하여 해당 특별시ㆍ광역시ㆍ특별자치시ㆍ도 및 특별자치도(이하 “시ㆍ도”라 한다)의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,부산광역시 교육비특별회계 소관 공유재산 관리 조례
P06341,003751,평생교육법 시행령,77,권한의 위임ㆍ위탁,③ 교육감은 법 제44조제3항에 따라 다음 각 호의 권한을 조례로 정하는 바에 따라 소관 교육장에게 위임할 수 있다.,조례로,위임자치법규,조례,자치법규,대전광역시교육감 소관 행정권한의 위임에 관한 조례
P05176,000851,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,서울특별시 성북구 평생학습진흥 조례
P02381,007739,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,부천시 보육 조례
P02599,009621,유아교육법,19,유치원운영위원회의 기능,10. 그 밖에 대통령령 및 시·도 조례로 정하는 사항,조례로,위임자치법규,대통령령,자치법규,인천광역시립학교 운영위원회 구성 및 운영에 관한 조례
P04011,012309,진로교육법,17,지역진로교육협의회,② 지역진로교육협의회의 구성ㆍ운영 등에 필요한 사항은 시ㆍ도 조례로 정한다.,조례로,위임자치법규,조례,자치법규,경상북도교육청 진로교육 지원에 관한 조례
P06617,000889,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,대구광역시 중구 친환경 학교급식 지원에 관한 조례
P05869,000851,평생교육법,21,시ㆍ군ㆍ구평생학습관 등의 설치ㆍ운영 등,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,김제시 평생교육 진흥 조례
P05607,000851,평생교육법,16,경비보조 및 지원,② 지방자치단체의 장은 해당 지방자치단체의 조례로 정하는 바에 따라 주민을 위한 평생교육진흥사업을 실시하거나 지원할 수 있다. 이 경우 교육감 또는 지역교육장과 협의하여야 한다.,조례로,위임자치법규,조례,자치법규,고성군 평생교육진흥 조례
P02272,007739,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,평택시 영유아보육 조례
P06601,000889,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,서울특별시 도봉구 친환경 학교급식 지원에 관한 조례
P01087,013984,대안교육기관에 관한 법률,20,지도ㆍ감독 등,"② 교육감 및 지방자치단체의 장이 제1항에 따른 지도ㆍ감독을 위하여 필요하면 조례로 정하는 바에 따라 해당 대안교육기관의 설립ㆍ운영자에게 제1항과 관련된 자료의 제출을 요구하거나 관계 공무원에게 해당 시설에 출입하여 그 시설ㆍ설비, 장부 등을 검사하게 할 수 있다.",조례로,위임자치법규,조례,자치법규,장흥군 대안교육 활성화에 관한 조례
P05719,000851,평생교육법,21,시ㆍ군ㆍ구평생학습관 등의 설치ㆍ운영 등,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,시흥시 평생학습 조례
P05413,000851,평생교육법,16,경비보조 및 지원,② 지방자치단체의 장은 해당 지방자치단체의 조례로 정하는 바에 따라 주민을 위한 평생교육진흥사업을 실시하거나 지원할 수 있다. 이 경우 교육감 또는 지역교육장과 협의하여야 한다.,조례로,위임자치법규,조례,자치법규,서천군 평생학습 조례
P04169,000900,초ㆍ중등교육법,30,학교회계의 운영,"⑥ 학교회계의 운영에 필요한 사항은 국립학교의 경우에는 교육부령으로, 공립학교의 경우에는 시·도의 교육규칙으로 정한다.",교육규칙으로,위임자치법규,부령,자치법규,전북특별자치도 공립학교회계 규칙
P04293,000900,초ㆍ중등교육법,60,통학 지원,② 제1항에 따른 통학 지원에 필요한 사항은 해당 시ㆍ도의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,광주광역시교육청 학생 통학 지원 조례
P03100,010449,장애인 등에 대한 특수교육법,10,특수교육운영위원회,"② 제1항에 따른 중앙특수교육운영위원회의 구성ㆍ운영 등에 관하여 필요한 사항은 대통령령으로, 시ㆍ도특수교육운영위원회 및 시ㆍ군ㆍ구특수교육운영위원회의 구성ㆍ운영 등에 관하여는 특별시ㆍ광역시ㆍ특별자치시ㆍ도 및 특별자치도(이하 ""시ㆍ도""라 한다)의 교육규칙으로 각각 정한다.",교육규칙으로,위임자치법규,대통령령,자치법규,인천광역시 특수교육운영위원회 규칙
P05631,000851,평생교육법,16,경비보조 및 지원,② 지방자치단체의 장은 해당 지방자치단체의 조례로 정하는 바에 따라 주민을 위한 평생교육진흥사업을 실시하거나 지원할 수 있다. 이 경우 교육감 또는 지역교육장과 협의하여야 한다.,조례로,위임자치법규,조례,자치법규,대구광역시 평생교육진흥 조례
P06920,000894,학교용지 확보 등에 관한 특례법,5,학교용지부담금특별회계의 설치,3. 그 밖에 해당 시·도의 조례로 정하는 재원,조례로 정하는 재원,위임자치법규,조례,자치법규,전북특별자치도 학교용지부담금 부과ㆍ징수 및 특별회계 설치 조례
P05448,000851,평생교육법,16,경비보조 및 지원,② 지방자치단체의 장은 해당 지방자치단체의 조례로 정하는 바에 따라 주민을 위한 평생교육진흥사업을 실시하거나 지원할 수 있다. 이 경우 교육감 또는 지역교육장과 협의하여야 한다.,조례로,위임자치법규,조례,자치법규,순창군 평생교육 진흥 조례
P02554,009621,유아교육법,11,입학,"② 원장은 교육 목적에 적합한 범위에서 유치원규칙으로 정하는 바에 따라 공정하고 투명한 방법으로 유치원에 입학할 유아를 모집·선발하여야 한다. 다만, 제3항에 따른 조례에서 모집·선발 시기 등을 달리 정한 경우에는 이에 따라야 한다.",조례에서,위임자치법규,조례,자치법규,세종특별자치시 유치원 유아 모집ㆍ선발에 관한 조례
P05442,000851,평생교육법,16,경비보조 및 지원,② 지방자치단체의 장은 해당 지방자치단체의 조례로 정하는 바에 따라 주민을 위한 평생교육진흥사업을 실시하거나 지원할 수 있다. 이 경우 교육감 또는 지역교육장과 협의하여야 한다.,조례로,위임자치법규,조례,자치법규,안산시 평생교육진흥 조례
P00683,006544,교육공무원 임용후보자 선정경쟁시험규칙,21,응시수수료,① 시험에 응시하려는 사람은 시ㆍ도의 조례로 정하는 바에 따라 응시수수료를 내야 한다.,조례로,위임자치법규,조례,자치법규,강원특별자치도 교육ㆍ학예에 관한  각종 수수료 징수 조례
P02407,007739,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,부안군 영유아보육 조례
P01249,014226,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,고성군 학교 밖 청소년 지원 조례
P01204,014226,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,인제군 학교 밖 청소년 지원 조례
P07201,000850,학원의 설립ㆍ운영 및 과외교습에 관한 법률,6,학원 설립ㆍ운영의 등록,② 숙박시설을 갖춘 학교교과교습학원의 등록은 대통령령으로 정하는 범위에서 관할 지역의 교육여건과 수강생의 안전 및 숙박시설의 필요성 등을 고려하여 시·도의 조례로 정하는 기준에 맞는 경우에만 할 수 있다.,조례로,위임자치법규,대통령령,자치법규,세종특별자치시교육청 학원의 설립ㆍ운영 및 과외교습에 관한 조례
P03572,005061,지방교육행정기관의 행정기구와 정원기준 등에 관한 규정,10,과ㆍ담당관 등의 설치,본청에 두는 과·담당관의 설치와 사무 분장 등에 관한 사항은 해당 시·도의 교육규칙으로 정한다.,교육규칙으로,위임자치법규,조례,자치법규,인천광역시교육청 행정기구 설치 조례 시행규칙
P07180,000850,학원의 설립ㆍ운영 및 과외교습에 관한 법률,4,학원설립ㆍ운영자 등의 책무,"③ 학원설립·운영자 및 교습자는 특별시·광역시·특별자치시·도 및 특별자치도(이하 ""시·도""라 한다)의 조례로 정하는 바에 따라 학원·교습소의 운영과 관련하여 학원·교습소의 수강생에게 발생한 생명·신체상의 손해를 배상할 것을 내용으로 하는 보험이나 공제사업에 가입하는 등 필요한 안전조치를 취하여야 한다",조례로,위임자치법규,조례,자치법규,인천광역시 학원의 설립ㆍ운영 및 과외교습에 관한 조례
P03622,005061,지방교육행정기관의 행정기구와 정원기준 등에 관한 규정,12,직속기관 등의 하부조직 설치,"③ 직속기관과 교육지원청 소속 기관의 장의 직급, 하부조직 및 그 사무 분장에 관한 사항은 해당 시ㆍ도의 조례 또는 조례의 위임에 따른 교육규칙으로 정한다.",시.도의 조례,위임자치법규,조례,자치법규,강원특별자치도교육청 행정기구 설치조례
P05001,012258,초ㆍ중등교육법 시행규칙,82,시ㆍ도 교육규칙에의 위임,"이 규칙에서 규정한 사항 외에 특성화중학교, 특수목적고등학교 또는 자율형 사립고등학교의 지정·지정 취소 및 운영에 필요한 사항에 관하여는 법령의 범위 내에서 시·도 교육규칙으로 정할 수 있다.",교육규칙으로,위임자치법규,조례,자치법규,대전광역시 특성화중ㆍ특목고ㆍ특성화고 및 자율학교등의 지정ㆍ운영에 관한 규칙
P02198,007739,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,울릉군 영유아 보육 조례
P02310,007739,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,증평군 보육 조례
P04385,005238,초ㆍ중등교육법 시행령,58,국ㆍ공립학교 운영위원회의 구성,"④ 제2항 및 제3항에도 불구하고 다음 각 호의 구분에 따른 국ㆍ공립학교에 두는 운영위원회 위원의 구성비율은 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 범위에서 위원회규정으로 달리 정할 수 있다. 이 경우 학부모위원, 교원위원 및 지역위원은 각각 1명 이상 포함되어야 한다.",조례로,위임자치법규,조례,자치법규,충청북도립학교운영위원회 설치ㆍ운영에 관한 조례
P03829,004071,지방자치단체의 교육경비 보조에 관한 규정,4,보조의 신청등,①지방자치단체의 장은 해당 연도 보조사업에 대하여 각급학교의 장에게 보조대상사업 및 그 예산액을 통지하고 보조신청서를 제출하도록 하여야 한다. 이 경우 해당 지방자치단체의 조례로 정하는 바에 따라 관할 교육감 또는 교육장을 거쳐 보조대상사업 및 그 예산액을 통지하거나 보조신청서를 제출하게 할 수 있다.,조례로,위임자치법규,조례,자치법규,연천군 교육경비 보조에 관한 조례
P06748,005379,학교보건법 시행령,2,보건실의 설치기준 등,"③ 제2항에 따라 보건실에 갖추어야 하는 시설과 기구 및 용품의 구체적인 기준은 「초ㆍ중등교육법」 제3조에 따른 국립학교와 「고등교육법」 제2조 각 호에 따른 학교의 경우에는 교육부령으로 정하고, 「초ㆍ중등교육법」 제3조에 따른 공립학교 및 사립학교의 경우에는 시ㆍ도 교육규칙으로 정한다.",교육규칙으로,위임자치법규,부령,자치법규,경상남도 학교보건실 시설과 기구 및 용품에 관한 규칙
P05229,000851,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,서울특별시 금천구 평생학습 진흥 조례
P05354,000851,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,광주시 평생교육 진흥 조례
P01292,014226,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,서울특별시 강동구 학교 밖 청소년 지원 조례
P02809,009874,유아교육법 시행령,32,사립유치원에 대한 지원,② 특별시장·광역시장·특별자치시장·도지사·특별자치도지사 및 시장·군수·구청장(자치구의 구청장을 말한다. 이하 같다)은 조례로 정하는 바에 따라 제1항 각 호의 경비의 전부 또는 일부를 사립유치원에 지원할 수 있다.,조례로,위임자치법규,조례,자치법규,포항시 교육경비 보조에 관한 조례
P05751,000851,평생교육법,21,시ㆍ군ㆍ구평생학습관 등의 설치ㆍ운영 등,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,충청남도 평생학습관 운영에 관한 조례
P02746,009874,유아교육법 시행령,22,의견 수렴,"국립·공립 유치원에 두는 운영위원회는 학부모가 경비를 부담하는 사항을 심의할 때에는 국립유치원의 경우에는 유치원규칙으로 정하는 바에 따라 미리 학부모의 의견을 수렴하여야 하며, 공립유치원의 경우에는 시·도의 조례로 정하는 바에 따라 미리 학부모의 의견을 수렴하여야 한다.",조례로,위임자치법규,조례,자치법규,전북특별자치도 도립학교 운영위원회 설치ㆍ운영에 관한 조례
P06004,000851,평생교육법,21,읍ㆍ면ㆍ동 평생학습센터의 운영,② 제1항에 따른 읍·면·동 평생학습센터의 설치 또는 지정 및 운영에 관한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,인천광역시 연수구 평생교육진흥 조례
P02761,009874,유아교육법 시행령,22,소위원회,"② 제1항에 따른 소위원회의 구성 및 운영에 필요한 사항은 국립유치원의 경우에는 유치원규칙으로, 공립유치원의 경우에는 시ㆍ도의 조례로, 사립유치원의 경우에는 정관 또는 유치원규칙으로 정한다.",조례로,위임자치법규,조례,자치법규,서울특별시교육청 공립유치원운영위원회 구성 및 운영 등에 관한 조례
P04932,005238,초ㆍ중등교육법 시행령,105,자율학교등 지정ㆍ운영위원회,② 제1항에 따른 자율학교등 지정·운영위원회의 구성 및 운영에 필요한 사항은 시·도 교육규칙으로 정한다.,필요한 사항은 시.도 교육규칙으로 정한다,위임자치법규,조례,자치법규,강원특별자치도교육청 자율학교등 지정ㆍ운영에 관한 규칙
P03266,000898,지방교육자치에 관한 법률,26,사무의 위임ㆍ위탁 등,"①교육감은 조례 또는 교육규칙으로 정하는 바에 따라 그 권한에 속하는 사무의 일부를 보조기관, 소속교육기관 또는 하급교육행정기관에 위임할 수 있다.",교육규칙으로 정하는 바에 따라 그 권한에 속하는 사무의 일부를 보조기관,위임자치법규,조례,자치법규,세종특별자치시교육감 행정권한 위임에 관한 규칙
P07294,000850,학원의 설립ㆍ운영 및 과외교습에 관한 법률,17,행정처분,④ 제1항부터 제3항까지에 따른 행정처분의 기준과 그 밖에 필요한 사항은 조례로 정한다.,조례로,위임자치법규,조례,자치법규,세종특별자치시교육청 학원의 설립ㆍ운영 및 과외교습에 관한 조례
P00022,010073,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법 시행령,7,학생의 정원,③ 법 제10조제1항 단서에 따라 외국교육기관에 입학할 수 있는 내국인 학생 수의 비율은 해당 외국교육기관 학생정원의 30퍼센트의 범위에서 위원회가 조정하는 비율로 한다. 이 경우 교육감이 특별시·광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시·광역시 또는 도의 교육규칙으로 입학비율을 추가로 높일 수 있다.,교육감이 특별시.광역시 또는 도의 교육여건을 고려하여 학생정원의 20퍼센트의 범위에서 특별시.광역시 또는 도의 교육규칙으로,위임자치법규,조례,자치법규,인천광역시 외국교육기관 운영에 관한 규칙
P00720,011529,교육국제화특구의 지정ㆍ운영 및 육성에 관한 특별법,9,실시계획심의위원회,3. 그 밖에 특구 조성사업에 필요한 사항으로서 조례로 정하는 사항,조례로 정하는,위임자치법규,조례,자치법규,제주특별자치도 교육국제화특구 육성 및 활성화 조례
P05175,000851,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,서울특별시 서초구 평생교육진흥 조례
P06117,000851,평생교육법,28,평생교육기관의 설치자,③ 제2조제2호가목에 따른 평생교육기관의 설치자는 특별시ㆍ광역시ㆍ특별자치시ㆍ도ㆍ특별자치도(이하 “시ㆍ도”라 한다)의 조례로 정하는 바에 따라 평생교육시설의 운영과 관련하여 그 시설의 이용자에게 발생한 생명ㆍ신체상의 손해를 배상할 것을 내용으로 하는 보험가입 또는 공제사업에의 가입 등 필요한 안전조치를 하여야 한다,조례로,위임자치법규,조례,자치법규,울산광역시 평생교육진흥 조례
P07328,005397,학원의 설립ㆍ운영 및 과외교습에 관한 법률 시행령,5,숙박시설을 갖춘 학교교과교습학원의 등록,"2. 특별시·광역시·특별자치시·도 및 특별자치도(이하 ""시·도""라 한다)의 조례에서 정하는 유치원, 초등학교, 중학교 및 고등학교 또는 이에 준하는 학교에 재학하는 학생에 대한 교습 제한기준을 충족할 것",조례에서,위임자치법규,조례,자치법규,제주특별자치도 학원의 설립ㆍ운영 및 과외교습에 관한 조례
P01093,013984,대안교육기관에 관한 법률,20,지도ㆍ감독 등,"② 교육감 및 지방자치단체의 장이 제1항에 따른 지도ㆍ감독을 위하여 필요하면 조례로 정하는 바에 따라 해당 대안교육기관의 설립ㆍ운영자에게 제1항과 관련된 자료의 제출을 요구하거나 관계 공무원에게 해당 시설에 출입하여 그 시설ㆍ설비, 장부 등을 검사하게 할 수 있다.",조례로,위임자치법규,조례,자치법규,춘천시 학교 밖 청소년 지원 조례
P03747,005061,지방교육행정기관의 행정기구와 정원기준 등에 관한 규정,20,정원의 규정,① 시·도 교육청에 두는 지방공무원 정원의 총수는 다음 각 호의 구분에 따라 해당 시·도의 조례로 정한다.,구분에 따라 해당 시.도의 조례로,위임자치법규,조례,자치법규,대전광역시교육감 소속 지방공무원 정원 조례
P01284,014226,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,부산광역시 학교 밖 청소년 지원 조례
P04473,005238,초ㆍ중등교육법 시행령,62,조례 등에의 위임,"국·공립학교에 두는 운영위원회의 구성 및 운영에 관하여 이 영에서 규정하지 아니한 사항은 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시·도의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,전북특별자치도 도립학교 운영위원회 설치ㆍ운영에 관한 조례
P01206,014226,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,인천광역시 계양구 학교 밖 청소년 지원 조례
P06583,000889,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,고흥군 학교급식 식재료 사용 및 지원에 관한 조례
P04305,000900,초ㆍ중등교육법,60,통학 지원,② 제1항에 따른 통학 지원에 필요한 사항은 해당 시ㆍ도의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,전북특별자치도 작은 학교 지원에 관한 조례
P00468,006562,교육감 소속 지방공무원 평정규칙,23,자격증 등의 가산점,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하는 특수직급의 신규임용시험 또는 전직시험에 응시하여 임용된 사람의 해당 자격증,인사규칙에서,위임자치법규,,자치법규,제주특별자치도교육감 소속 지방공무원 인사 규칙
P06502,000889,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,청도군 친환경 학교급식 지원에 관한 조례
P06023,000851,평생교육법,21,읍ㆍ면ㆍ동 평생학습센터의 운영,② 제1항에 따른 읍·면·동 평생학습센터의 설치 또는 지정 및 운영에 관한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,논산시 평생교육 조례
P06972,000894,학교용지 확보 등에 관한 특례법,9,권한의 위임,① 시·도지사는 그 시·도의 조례로 정하는 바에 따라 제5조에 따른 부담금의 부과·징수에 관한 업무를 시장·군수·구청장(자치구의 구청장을 말한다)에게 위임할 수 있다.,조례로,위임자치법규,조례,자치법규,경상남도 학교용지부담금 부과ㆍ징수 및 사용에 관한 조례
P02450,007739,영유아보육법 시행규칙,27,부모모니터링단의 구성ㆍ운영 등,"⑦ 제1항부터 제6항까지에서 규정한 사항 외에 부모모니터링단의 구성, 운영 및 직무 수행 등에 관하여 필요한 사항은 해당 특별시ㆍ광역시ㆍ특별자치시ㆍ도ㆍ특별자치도 또는 시ㆍ군ㆍ구(자치구를 말한다)의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,대구광역시 서구 어린이집 안전에 관한 조례
P06577,000889,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,고령군 학교급식 지원에 관한 조례
P04440,005238,초ㆍ중등교육법 시행령,59,의견 수렴 등,"① 국ㆍ공립학교에 두는 운영위원회는 다음 각 호의 어느 하나에 해당하는 사항을 심의하려는 경우 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라 미리 학부모의 의견을 수렴해야 한다.",공립학교의 경우에는 시.도의 조례로,위임자치법규,조례,자치법규,대구광역시 공립 유치원 및 학교 운영위원회 설치ㆍ운영에 관한 조례
P06585,000889,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,담양군 학교급식 지원 조례
P04777,005238,초ㆍ중등교육법 시행령,90,특수목적고등학교 지정ㆍ운영위원회,② 제1항에 따른 특수목적고등학교 지정·운영위원회의 구성 및 운영에 필요한 사항은 시·도 교육규칙으로 정한다.,필요한 사항은 시.도 교육규칙으로 정한다,위임자치법규,조례,자치법규,강원특별자치도 특수목적고등학교 지정ㆍ운영위원회 규칙
P01133,014226,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,여주시 학교 밖 청소년 교육지원 조례
P04503,005238,초ㆍ중등교육법 시행령,67,중학교 입학 시기 등,"중학교 학생의 입학, 재취학 또는 편입학은 해당 학교의 교육과정 이수에 지장이 없는 범위에서 수시로 할 수 있다. 다만, 제77조제2항에 따라 시·도 조례로 정하는 지역에서의 편입학 시기는 교육감이 정할 수 있다.",조례로,위임자치법규,조례,자치법규,세종특별자치시교육감의 고등학교 입학전형 실시 지역 지정 및 해제에 관한 조례
P04786,005238,초ㆍ중등교육법 시행령,91,특성화고등학교,③ 제1항 및 제2항에서 규정한 사항 외에 특성화고등학교의 지정 및 운영에 필요한 사항은 시·도 교육규칙으로 정한다.,교육규칙으로,위임자치법규,조례,자치법규,대전광역시 특성화중ㆍ특목고ㆍ특성화고 및 자율학교등의 지정ㆍ운영에 관한 규칙
P04429,005238,초ㆍ중등교육법 시행령,59,의견 수렴 등,"① 국ㆍ공립학교에 두는 운영위원회는 다음 각 호의 어느 하나에 해당하는 사항을 심의하려는 경우 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시ㆍ도의 조례로 정하는 바에 따라 미리 학부모의 의견을 수렴해야 한다.",공립학교의 경우에는 시.도의 조례로,위임자치법규,조례,자치법규,경기도립 학교운영위원회 설치ㆍ운영 조례
P05814,000851,평생교육법,21,시ㆍ군ㆍ구평생학습관 등의 설치ㆍ운영 등,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,논산시 평생교육 조례
P01981,011331,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,어린이가 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,부산광역시 기장군 어린이 통학로 교통안전을 위한 조례
P07303,000850,학원의 설립ㆍ운영 및 과외교습에 관한 법률,17,행정처분,④ 제1항부터 제3항까지에 따른 행정처분의 기준과 그 밖에 필요한 사항은 조례로 정한다.,조례로,위임자치법규,조례,자치법규,광주광역시 학원의 설립ㆍ운영 및 과외교습에 관한 조례
P01884,011331,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,바. 그 밖에 어린이가 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,어린이가 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,충청남도 어린이통학로 교통안전에 관한 조례
