id,상위법령ID,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명
P00185,000899,고등교육법,59,성과관리,대통령령으로 정한다,대통령령,시행령,대통령령,법령,고등교육법 시행령
P02176,000191,영유아보육법,49,위반사실의 공표,사항은 대통령령으로,대통령령,시행령,대통령령,법령,영유아보육법 시행령
P00203,002233,고등교육법 시행령,16,분교의 인가,대통령령으로 정한다,대통령령,시행령,대통령령,법령,대학설립ㆍ운영 규정
P00178,000899,고등교육법,59,지역 간의 협업,대통령령으로 정한다,대통령령,시행령,대통령령,법령,고등교육법 시행령
P01061,013984,대안교육기관에 관한 법률,5,대안교육기관의 설립ㆍ운영의 등록 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,대안교육기관에 관한 법률 시행령
P03017,000866,자격기본법,26,공인의 취소 또는 자격검정등의 정지 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,자격기본법 시행령
P06712,000890,학교보건법,8,등교 중지,대통령령으로 정하는,대통령령,시행령,대통령령,법령,학교보건법 시행령
P02589,009621,유아교육법,19,유치원운영위원회의 설치 등,고려하여 대통령령으로,대통령령,시행령,대통령령,법령,유아교육법 시행령
P00548,001616,교육공무원법,15,우수 교육공무원 등의 특별 승진,대통령령으로 정한다,대통령령,시행령,대통령령,법령,교육공무원임용령
P05059,011136,취업 후 학자금 상환 특별법,23,종합소득자의 대출원리금 상환 등,구체적인 사항은 대통령령으로,대통령령,시행령,대통령령,법령,취업 후 학자금 상환 특별법 시행령
P01047,014148,기초학력 보장법,5,기초학력 보장 종합계획의 수립 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,기초학력 보장법 시행령
P04279,000900,초ㆍ중등교육법,60,외국인학교,대통령령으로 정하는 기준,대통령령,시행령,대통령령,법령,외국인학교 및 외국인유치원의 설립ㆍ운영에 관한 규정|외국인학교 및 외국인유치원의 설립ㆍ운영에 관한 규정
